public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);} ||| public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);}
public virtual GetPersonalizedRankingResponse GetPersonalizedRanking(GetPersonalizedRankingRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetPersonalizedRankingRequestMarshaller.Instance;options.ResponseUnmarshaller = GetPersonalizedRankingResponseUnmarshaller.Instance;return Invoke<GetPersonalizedRankingResponse>(request, options);} ||| public GetPersonalizedRankingResult getPersonalizedRanking(GetPersonalizedRankingRequest request) {request = beforeClientExecution(request);return executeGetPersonalizedRanking(request);}
public virtual ObjectId GetObjectId(){return ObjectId.FromRaw(IdBuffer, IdOffset);} ||| public ObjectId getObjectId() {return ObjectId.fromRaw(idBuffer(), idOffset());}
public override void Serialize(ILittleEndianOutput out1){out1.WriteInt(FirstRow);out1.WriteInt(LastRow);out1.WriteShort(FirstCol);out1.WriteShort(LastCol);out1.WriteShort(( short ) 0);} ||| public void serialize(LittleEndianOutput out) {out.writeInt(getFirstRow());out.writeInt(getLastRow());out.writeShort(getFirstCol());out.writeShort(getLastCol());out.writeShort(( short ) 0);}
protected internal RmCommand(Repository repo) : base(repo){filepatterns = new List<string>();} ||| public RmCommand(Repository repo) {super(repo);filepatterns = new LinkedList<>();}
public override void Recover(Parser recognizer, RecognitionException e){for (ParserRuleContext context = recognizer.Context; context != null; context = ((ParserRuleContext)context.Parent)){context.exception = e;}throw new ParseCanceledException(e);} ||| public void recover(Parser recognizer, RecognitionException e) {for (ParserRuleContext context = recognizer.getContext(); context != null; context = context.getParent()) {context.exception = e;}throw new ParseCancellationException(e);}
public static BATBlock CreateBATBlock(POIFSBigBlockSize bigBlockSize, ByteBuffer data){BATBlock block = new BATBlock(bigBlockSize);byte[] buffer = new byte[LittleEndianConsts.INT_SIZE];for (int i = 0; i < block._values.Length; i++){data.Read(buffer);block._values[i] = LittleEndian.GetInt(buffer);}block.RecomputeFree();return block;} ||| public static BATBlock createBATBlock(final POIFSBigBlockSize bigBlockSize, ByteBuffer data){BATBlock block = new BATBlock(bigBlockSize);byte[] buffer = new byte[LittleEndian.INT_SIZE];for(int i=0; i<block._values.length; i++) {data.get(buffer);block._values[i] = LittleEndian.getInt(buffer);}block.recomputeFree();return block;}
public virtual byte[] ToByteArray(){long len = Length();if (int.MaxValue < len){throw new OutOfMemoryException(JGitText.Get().lengthExceedsMaximumArraySize);}byte[] @out = new byte[(int)len];int outPtr = 0;foreach (TemporaryBuffer.Block b in blocks){System.Array.Copy(b.buffer, 0, @out, outPtr, b.count);outPtr += b.count;}return @out;} ||| public byte[] toByteArray() throws IOException {final long len = length();if (Integer.MAX_VALUE < len)throw new OutOfMemoryError(JGitText.get().lengthExceedsMaximumArraySize);final byte[] out = new byte[(int) len];int outPtr = 0;for (Block b : blocks) {System.arraycopy(b.buffer, 0, out, outPtr, b.count);outPtr += b.count;}return out;}
public short ClearShort(short holder){return (short)this.Clear(holder);} ||| public short clearShort(final short holder){return ( short ) clear(holder);}
public override String ToString(){StringBuilder sb = new StringBuilder();String recordName = RecordName;sb.Append("[").Append(recordName).Append("]\n");sb.Append("    .row    = ").Append(HexDump.ShortToHex(Row)).Append("\n");sb.Append("    .col    = ").Append(HexDump.ShortToHex(Column)).Append("\n");sb.Append("    .xfindex= ").Append(HexDump.ShortToHex(XFIndex)).Append("\n");AppendValueText(sb);sb.Append("\n");sb.Append("[/").Append(recordName).Append("]\n");return sb.ToString();} ||| public final String toString() {StringBuilder sb = new StringBuilder();String recordName = getRecordName();sb.append("[").append(recordName).append("]\n");sb.append("    .row    = ").append(HexDump.shortToHex(getRow())).append("\n");sb.append("    .col    = ").append(HexDump.shortToHex(getColumn())).append("\n");sb.append("    .xfindex= ").append(HexDump.shortToHex(getXFIndex())).append("\n");appendValueText(sb);sb.append("\n");sb.append("[/").append(recordName).append("]\n");return sb.toString();}
public IllegalFormatCodePointException(int c){this.c = c;} ||| public IllegalFormatCodePointException(int c) {this.c = c;}
public override string ToQueryString(IEscapeQuerySyntax escapeSyntaxParser){return "@" + this.schema + ":'" + this.value + "'";} ||| public CharSequence toQueryString(EscapeQuerySyntax escapeSyntaxParser) {return "@" + this.schema + ":'" + this.value + "'";}
public ValueEval Evaluate(ValueEval[] args, OperationEvaluationContext ec){if (args.Length != 2){return ErrorEval.VALUE_INVALID;}try{double startDateAsNumber = NumericFunction.SingleOperandEvaluate(args[0], ec.RowIndex, ec.ColumnIndex);int months = (int)NumericFunction.SingleOperandEvaluate(args[1], ec.RowIndex, ec.ColumnIndex);if (startDateAsNumber >= 0.0 && startDateAsNumber < 1.0){startDateAsNumber = 1.0;}DateTime startDate = DateUtil.GetJavaDate(startDateAsNumber, false);DateTime dtEnd = startDate.AddMonths(months);dtEnd = dtEnd.AddMonths(1);dtEnd = new DateTime(dtEnd.Year, dtEnd.Month, 1);dtEnd = dtEnd.AddDays(-1);return new NumberEval(DateUtil.GetExcelDate(dtEnd));}catch (EvaluationException e){return e.GetErrorEval();}} ||| public ValueEval evaluate(ValueEval[] args, OperationEvaluationContext ec) {if (args.length != 2) {return ErrorEval.VALUE_INVALID;}try {double startDateAsNumber = NumericFunction.singleOperandEvaluate(args[0], ec.getRowIndex(), ec.getColumnIndex());int months = (int) NumericFunction.singleOperandEvaluate(args[1], ec.getRowIndex(), ec.getColumnIndex());if (startDateAsNumber >= 0.0 && startDateAsNumber < 1.0) {startDateAsNumber = 1.0;}Date startDate = DateUtil.getJavaDate(startDateAsNumber, false);Calendar cal = LocaleUtil.getLocaleCalendar();cal.setTime(startDate);cal.clear(Calendar.HOUR);cal.set(Calendar.HOUR_OF_DAY, 0);cal.clear(Calendar.MINUTE);cal.clear(Calendar.SECOND);cal.clear(Calendar.MILLISECOND);cal.add(Calendar.MONTH, months + 1);cal.set(Calendar.DAY_OF_MONTH, 1);cal.add(Calendar.DAY_OF_MONTH, -1);return new NumberEval(DateUtil.getExcelDate(cal.getTime()));} catch (EvaluationException e) {return e.getErrorEval();}}
public UnicodeString GetSSTString(int str){if (sst == null){InsertSST();}UnicodeString retval = sst.GetString(str);return retval;} ||| public UnicodeString getSSTString(int str) {if (sst == null) {insertSST();}UnicodeString retval = sst.getString(str);LOG.log(DEBUG, "Returning SST for index=", str, " String= ", retval);return retval;}
public override string Quote(string @in){StringBuilder r = new StringBuilder();r.Append('\'');int start = 0;int i = 0;for (; i < @in.Length; i++){switch (@in[i]){case '\'':case '!':{r.AppendRange(@in, start, i);r.Append('\'');r.Append('\\');r.Append(@in[i]);r.Append('\'');start = i + 1;break;}}}r.AppendRange(@in, start, i);r.Append('\'');return r.ToString();} ||| public String quote(String in) {final StringBuilder r = new StringBuilder();r.append('\'');int start = 0, i = 0;for (; i < in.length(); i++) {switch (in.charAt(i)) {case '\'':case '!':r.append(in, start, i);r.append('\'');r.append('\\');r.append(in.charAt(i));r.append('\'');start = i + 1;break;}}r.append(in, start, i);r.append('\'');return r.toString();}
public void Clear(){lastElement = 0;currentOffset = 0;Array.Clear(offsets, 0, offsets.Length);pool.Reset(false, true); } ||| public void clear() {lastElement = 0;currentOffset = 0;Arrays.fill(offsets, 0);pool.reset(false, true); }
public ReplaceableItem(string name, List<ReplaceableAttribute> attributes){_name = name;_attributes = attributes;} ||| public ReplaceableItem(String name, java.util.List<ReplaceableAttribute> attributes) {setName(name);setAttributes(attributes);}
public virtual int GetScore(){return score;} ||| public int getScore() {return score;}
public IrishLowerCaseFilter(TokenStream @in): base(@in){termAtt = AddAttribute<ICharTermAttribute>();} ||| public IrishLowerCaseFilter(TokenStream in) {super(in);}
public virtual void setSecondaryProgress(int secondaryProgress){lock (this){if (mIndeterminate){return;}if (secondaryProgress < 0){secondaryProgress = 0;}if (secondaryProgress > mMax){secondaryProgress = mMax;}if (secondaryProgress != mSecondaryProgress){mSecondaryProgress = secondaryProgress;refreshProgress(android.@internal.R.id.secondaryProgress, mSecondaryProgress, false);}}} ||| public synchronized void setSecondaryProgress(int secondaryProgress) {if (mIndeterminate) {return;}if (secondaryProgress < 0) {secondaryProgress = 0;}if (secondaryProgress > mMax) {secondaryProgress = mMax;}if (secondaryProgress != mSecondaryProgress) {mSecondaryProgress = secondaryProgress;refreshProgress(R.id.secondaryProgress, mSecondaryProgress, false);}}
public static short[] Grow(short[] array){return Grow(array, 1 + array.Length);} ||| public static byte[] grow(byte[] array) {return grow(array, 1 + array.length);}
public virtual IList<IToken> GetHiddenTokensToRight(int tokenIndex){return GetHiddenTokensToRight(tokenIndex, -1);} ||| public List<Token> getHiddenTokensToRight(int tokenIndex) {return getHiddenTokensToRight(tokenIndex, -1);}
public DataValidityTable(){_headerRec = new DVALRecord();_validationList = new ArrayList();} ||| public DataValidityTable() {_headerRec = new DVALRecord();_validationList = new ArrayList<>();}
public EvaluationException(ErrorEval errorEval){_errorEval = errorEval;} ||| public EvaluationException(ErrorEval errorEval) {_errorEval = errorEval;}
public UpdateConfigurationTemplateRequest(string applicationName, string templateName){_applicationName = applicationName;_templateName = templateName;} ||| public UpdateConfigurationTemplateRequest(String applicationName, String templateName) {setApplicationName(applicationName);setTemplateName(templateName);}
public virtual DescribeAvailabilityZonesResponse DescribeAvailabilityZones(DescribeAvailabilityZonesRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeAvailabilityZonesRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeAvailabilityZonesResponseUnmarshaller.Instance;return Invoke<DescribeAvailabilityZonesResponse>(request, options);} ||| public DescribeAvailabilityZonesResult describeAvailabilityZones(DescribeAvailabilityZonesRequest request) {request = beforeClientExecution(request);return executeDescribeAvailabilityZones(request);}
public static int idealShortArraySize(int need){return idealByteArraySize(need * 2) / 2;} ||| public static int idealShortArraySize(int need) {return idealByteArraySize(need * 2) / 2;}
public NumericPayloadTokenFilterFactory(IDictionary<string, string> args) : base(args){payload = RequireSingle(args, "payload");typeMatch = Require(args, "typeMatch");if (args.Count > 0){throw new System.ArgumentException("Unknown parameters: " + args);}} ||| public NumericPayloadTokenFilterFactory(Map<String, String> args) {super(args);payload = requireFloat(args, "payload");typeMatch = require(args, "typeMatch");if (!args.isEmpty()) {throw new IllegalArgumentException("Unknown parameters: " + args);}}
public override void Decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations){for (int j = 0; j < iterations; ++j){values[valuesOffset++] = blocks[blocksOffset++] & 0xFF;}} ||| public void decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations) {for (int j = 0; j < iterations; ++j) {values[valuesOffset++] = blocks[blocksOffset++] & 0xFF;}}
public virtual DescribeResourcePermissionsResponse DescribeResourcePermissions(DescribeResourcePermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeResourcePermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeResourcePermissionsResponseUnmarshaller.Instance;return Invoke<DescribeResourcePermissionsResponse>(request, options);} ||| public DescribeResourcePermissionsResult describeResourcePermissions(DescribeResourcePermissionsRequest request) {request = beforeClientExecution(request);return executeDescribeResourcePermissions(request);}
public override TokenStream Create(TokenStream input){return delegator.Create(input);} ||| public TokenStream create(TokenStream input) {return map.fst == null ? input : new SynonymFilter(input, map, ignoreCase);}
public virtual IList<string> GetRuleInvocationStack(){return GetRuleInvocationStack(_ctx);} ||| public List<String> getRuleInvocationStack() {return getRuleInvocationStack(_ctx);}
public virtual void Write(char b){if (m_len >= m_buf.Length){Resize(m_len + 1);}UnsafeWrite(b);} ||| public void write(String s) {reserve(s.length());s.getChars(0,s.length(),buf, len);len +=s.length();}
public virtual void Clear(){map.Clear();} ||| public void clear() {map.clear();}
public virtual DeleteWorkteamResponse DeleteWorkteam(DeleteWorkteamRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteWorkteamRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteWorkteamResponseUnmarshaller.Instance;return Invoke<DeleteWorkteamResponse>(request, options);} ||| public DeleteWorkteamResult deleteWorkteam(DeleteWorkteamRequest request) {request = beforeClientExecution(request);return executeDeleteWorkteam(request);}
public override string ToString(){return "(" + a.ToString() + " AND " + b.ToString() + ")";} ||| public String toString() {return "(" + a.toString() + " OR " + b.toString() + ")";}
public override TreeFilter Clone(){TreeFilter[] s = new TreeFilter[subfilters.Length];for (int i = 0; i < s.Length; i++){s[i] = subfilters[i].Clone();}return new AndTreeFilter.List(s);} ||| public TreeFilter clone() {final TreeFilter[] s = new TreeFilter[subfilters.length];for (int i = 0; i < s.length; i++)s[i] = subfilters[i].clone();return new List(s);}
public override string ToString(){StringBuilder buf = new StringBuilder();buf.Append("DiffEntry[");buf.Append(changeType);buf.Append(" ");switch (changeType){case DiffEntry.ChangeType.ADD:{buf.Append(newPath);break;}case DiffEntry.ChangeType.COPY:{buf.Append(oldPath + "->" + newPath);break;}case DiffEntry.ChangeType.DELETE:{buf.Append(oldPath);break;}case DiffEntry.ChangeType.MODIFY:{buf.Append(oldPath);break;}case DiffEntry.ChangeType.RENAME:{buf.Append(oldPath + "->" + newPath);break;}}buf.Append("]");return buf.ToString();} ||| public String toString() {StringBuilder buf = new StringBuilder();buf.append("DiffEntry[");buf.append(changeType);buf.append(" ");switch (changeType) {case ADD:buf.append(newPath);break;case COPY:buf.append(oldPath + "->" + newPath);break;case DELETE:buf.append(oldPath);break;case MODIFY:buf.append(oldPath);break;case RENAME:buf.append(oldPath + "->" + newPath);break;}buf.append("]");return buf.toString();}
